1408,섬유소재,FITI시험연구원,R-KORAS-2017-047,지오그리드,JM-GRID 20T/3T,(주)진명,2020-02-20
1407,섬유소재,FITI시험연구원,R-KORAS-2017-046,지오그리드,JM-GRID 15T/3T,(주)진명,2020-02-20
1406,섬유소재,FITI시험연구원,R-KORAS-2017-045,지오그리드,JM-GRID 10T/3T,(주)진명,2020-02-20
1405,섬유소재,FITI시험연구원,R-KORAS-2019-48,차/배수 복합 배수재,VDek706,(주)대한아이엠,2020-02-20
1404,섬유소재,FITI시험연구원,R-KORAS-2017-044,지오그리드,JM-GRID 8T/3T,(주)진명,2020-02-20
1403,섬유소재,FITI시험연구원,R-KORAS-2019-47,지오그리드,SGT-20T,(주)삼성그린테크,2020-02-20
1402,섬유소재,FITI시험연구원,R-KORAS-2017-043,지오그리드,JM-GRID 6T/3T,(주)진명,2020-02-20
1401,섬유소재,FITI시험연구원,R-KORAS-2019-46,지오그리드,SGT-15T,(주)삼성그린테크,2020-02-20
1400,섬유소재,FITI시험연구원,R-KORAS-2018-042,판넬 옹벽용 보강벨트,FoldLock 110kN,한포스,2020-02-20
1399,섬유소재,FITI시험연구원,R-KORAS-2019-45,지오그리드,SGT-10T,(주)삼성그린테크,2020-02-20
1398,섬유소재,FITI시험연구원,R-KORAS-2019-44,지오그리드,SGT-8T,(주)삼성그린테크,2020-02-20
1397,섬유소재,FITI시험연구원,R-KORAS-2018-041,판넬 옹벽용 보강벨트,FoldLock 90kN,한포스,2020-02-20
1396,섬유소재,FITI시험연구원,R-KORAS-2019-43,지오그리드,SGT-6T,(주)삼성그린테크,2020-02-20
1395,섬유소재,FITI시험연구원,R-KORAS-2018-040,판넬 옹벽용 보강벨트,FoldLock 70kN,한포스,2020-02-20
1394,섬유소재,FITI시험연구원,R-KORAS-2018-039,판넬 옹벽용 보강벨트,FoldLock 50kN,한포스,2020-02-20
